"V1" "V2"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E276_fdp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E170_arg__L[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E17_4gudbutn[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E178_4gudbutn[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E110_asn__L[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E131_asn__L[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E258_gthrd[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E42_cgly[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E156_6pgl[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E349_ctp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E49_2pglyc[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E273_2pglyc[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E274_2pglyc[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E56_gtp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E58_amp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E315_amp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E7_atp[c]_cobalt2[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E415_atp[c]_cobalt2[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E91_atp[c]_ca2[p]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E433_atp[c]_ca2[p]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E382_25dhpp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E103_adprib[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E474_adprib[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E477_csn[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E316_fmn[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E105_gtp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E482_amp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E329_arg__L[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E121_cytd[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E122_amp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E58_cmp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E315_cmp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E333_ctp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E179_10fthf[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E88_atp[c]_cobalt2[p]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E349_dctp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E56_trdox[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E81_atp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E90_atp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E8_atp[c]_fe3[p]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E95_atp[c]_fe3[p]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E101_atp[c]_cobalt2[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E427_ipdp[c]_nadp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "E150_dhpmp[c]_complex"
"" "Phenylacetic acid" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "E444_phpyr[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "x(460)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "x(504)"
