"V1" "V2"
"" "E319_dadp[c]_complex" "E442_cu2[p]_complex"
"" "(x(649)&x(648))" "E319_dadp[c]_complex"
"" "E319_dadp[c]_complex" "E465_co1dam[c]_complex"
"" "x(148)" "E319_dadp[c]_complex"
"" "E319_dadp[c]_complex" "E319_dcdp[c]_complex"
"" "E141_acglu[c]_complex" "E319_dadp[c]_complex"
"" "E154_asp__L[c]_citr__L[c]_complex" "E319_dadp[c]_complex"
"" "E498_26dap__M[c]_complex" "E319_dadp[c]_complex"
"" "E319_dadp[c]_complex" "E319_dgdp[c]_complex"
"" "E319_dadp[c]_complex" "E467_adcobhex[c]_applp[c]_complex"
"" "E319_dadp[c]_complex" "E351_dtmp[c]_complex"
"" "E247_ac[c]_coa[c]_complex" "E319_dadp[c]_complex"
"" "E319_dadp[c]_complex" "E480_5fthf[c]_complex"
"" "E319_dadp[c]_complex" "E213_aps[c]_complex"
"" "x(86)" "E319_dadp[c]_complex"
"" "(x(698)&x(694)&x(696)&x(699))" "E319_dadp[c]_complex"
"" "E319_dadp[c]_complex" "E372_coa[c]_complex"
"" "x(615)" "E319_dadp[c]_complex"
"" "E319_dadp[c]_complex" "E93_cu2[p]_complex"
"" "2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate" "O-Succinylbenzoate"
"" "x(515)" "E372_atp[c]_coa[c]_complex"
"" "(x(566)&x(569)&x(568))" "E442_cu2[p]_complex"
"" "(x(566)&x(569)&x(568))" "(x(649)&x(648))"
"" "(x(566)&x(569)&x(568))" "E465_co1dam[c]_complex"
"" "(x(566)&x(569)&x(568))" "E319_dcdp[c]_complex"
"" "(x(566)&x(569)&x(568))" "E141_acglu[c]_complex"
"" "(x(566)&x(569)&x(568))" "E154_asp__L[c]_citr__L[c]_complex"
"" "(x(566)&x(569)&x(568))" "E498_26dap__M[c]_complex"
"" "(x(566)&x(569)&x(568))" "E319_dgdp[c]_complex"
"" "(x(566)&x(569)&x(568))" "E467_adcobhex[c]_applp[c]_complex"
"" "(x(566)&x(569)&x(568))" "E351_dtmp[c]_complex"
"" "(x(566)&x(569)&x(568))" "E247_ac[c]_coa[c]_complex"
"" "(x(566)&x(569)&x(568))" "E480_5fthf[c]_complex"
"" "(x(566)&x(569)&x(568))" "E213_aps[c]_complex"
"" "(x(566)&x(569)&x(568))" "x(86)"
"" "(x(566)&x(569)&x(568))" "(x(698)&x(694)&x(696)&x(699))"
"" "(x(566)&x(569)&x(568))" "E372_coa[c]_complex"
"" "(x(566)&x(569)&x(568))" "x(615)"
"" "(x(566)&x(569)&x(568))" "E93_cu2[p]_complex"
"" "E78_mn2[c]_pi[c]_complex" "E377_dhna[c]_complex"
"" "E78_mn2[c]_pi[c]_complex" "E429_pi[c]_complex"
"" "E78_mn2[c]_pi[c]_complex" "E442_pi[c]_complex"
"" "E78_mn2[c]_pi[c]_complex" "E452_pre6a[c]_complex"
"" "E78_mn2[c]_pi[c]_complex" "E468_adocbip[c]_gtp[c]_complex"
"" "E78_mn2[c]_pi[c]_complex" "E473_nh3[c]_pac[c]_complex"
"" "E78_mn2[c]_pi[c]_complex" "E421_dxyl5p[c]_complex"
"" "E78_mn2[c]_pi[c]_complex" "E409_pgp181_9[c]_complex"
"" "x(198)" "E78_mn2[c]_pi[c]_complex"
"" "E78_mn2[c]_pi[c]_complex" "E175_pi[c]_complex"
"" "(x(216)" "E78_mn2[c]_pi[c]_complex"
"" "x(503)" "E78_mn2[c]_pi[c]_complex"
"" "E78_mn2[c]_pi[c]_complex" "E488_nadph[c]_omppp9[c]_complex"
"" "E24_arg__L[c]_complex" "E78_mn2[c]_pi[c]_complex"
"" "E344_ppi[c]_prbamp[c]_complex" "E78_mn2[c]_pi[c]_complex"
"" "x(90))" "E78_mn2[c]_pi[c]_complex"
"" "(x(513)" "E78_mn2[c]_pi[c]_complex"
"" "E194_u23ga[c]_complex" "E78_mn2[c]_pi[c]_complex"
"" "E57_asp__L[c]_complex" "E78_mn2[c]_pi[c]_complex"
"" "E307_asp__L[c]_complex" "E78_mn2[c]_pi[c]_complex"
"" "x(53)" "E78_mn2[c]_pi[c]_complex"
"" "E406_ppi[c]_complex" "E78_mn2[c]_pi[c]_complex"
"" "E476_acgam1p[c]_complex" "E78_mn2[c]_pi[c]_complex"
"" "E13_udcpdp[c]_complex" "E78_mn2[c]_pi[c]_complex"
"" "x(521)" "E78_mn2[c]_pi[c]_complex"
"" "E78_mn2[c]_pi[c]_complex" "E451_pre5[c]_complex"
"" "E78_mn2[c]_pi[c]_complex" "E390_atp[c]_fmn[c]_complex"
"" "x(602)" "E78_mn2[c]_pi[c]_complex"
"" "E78_mn2[c]_pi[c]_complex" "E409_pgp183_9_12_15[c]_complex"
"" "E78_mn2[c]_pi[c]_complex" "E168_pyr[c]_complex"
"" "E240_akg[c]_complex" "E78_mn2[c]_pi[c]_complex"
"" "E140_chlld[c]_complex" "E78_mn2[c]_pi[c]_complex"
"" "E361_3hmop[c]_complex" "E78_mn2[c]_pi[c]_complex"
"" "E209_h2o2[c]_iasp[c]_complex" "E78_mn2[c]_pi[c]_complex"
"" "E25_lipidAds[c]_udp[c]_complex" "E78_mn2[c]_pi[c]_complex"
"" "x(75)" "E78_mn2[c]_pi[c]_complex"
"" "E137_uaagmda[c]_udp[c]_complex" "E78_mn2[c]_pi[c]_complex"
"" "E334_pi[c]_complex" "E78_mn2[c]_pi[c]_complex"
"" "E78_mn2[c]_pi[c]_complex" "E81_k[c]_pi[c]_complex"
"" "E78_mn2[c]_pi[c]_complex" "E90_mg2[c]_pi[c]_complex"
"" "E78_mn2[c]_pi[c]_complex" "E8_pi[c]_complex"
"" "x(675)" "E78_mn2[c]_pi[c]_complex"
"" "2-Hydroxyphenylacetate" "E78_mn2[c]_pi[c]_complex"
"" "x(519)" "E374_h[c]_complex"
"" "E81_atp[c]_h2o[c]_complex" "E83_na1[p]_complex"
"" "E429_pi[c]_complex" "E377_dhna[c]_complex"
"" "E377_dhna[c]_complex" "E442_pi[c]_complex"
"" "E377_dhna[c]_complex" "E452_pre6a[c]_complex"
"" "E377_dhna[c]_complex" "E468_adocbip[c]_gtp[c]_complex"
"" "E377_dhna[c]_complex" "E473_nh3[c]_pac[c]_complex"
"" "E377_dhna[c]_complex" "E421_dxyl5p[c]_complex"
"" "E377_dhna[c]_complex" "E409_pgp181_9[c]_complex"
"" "x(198)" "E377_dhna[c]_complex"
"" "E377_dhna[c]_complex" "E175_pi[c]_complex"
"" "(x(216)" "E377_dhna[c]_complex"
"" "x(503)" "E377_dhna[c]_complex"
"" "E377_dhna[c]_complex" "E488_nadph[c]_omppp9[c]_complex"
"" "E24_arg__L[c]_complex" "E377_dhna[c]_complex"
"" "E344_ppi[c]_prbamp[c]_complex" "E377_dhna[c]_complex"
"" "x(90))" "E377_dhna[c]_complex"
"" "(x(513)" "E377_dhna[c]_complex"
"" "E194_u23ga[c]_complex" "E377_dhna[c]_complex"
"" "E57_asp__L[c]_complex" "E377_dhna[c]_complex"
"" "E307_asp__L[c]_complex" "E377_dhna[c]_complex"
"" "x(53)" "E377_dhna[c]_complex"
"" "E406_ppi[c]_complex" "E377_dhna[c]_complex"
"" "E476_acgam1p[c]_complex" "E377_dhna[c]_complex"
"" "E13_udcpdp[c]_complex" "E377_dhna[c]_complex"
"" "x(521)" "E377_dhna[c]_complex"
"" "E377_dhna[c]_complex" "E451_pre5[c]_complex"
"" "E377_dhna[c]_complex" "E390_atp[c]_fmn[c]_complex"
"" "x(602)" "E377_dhna[c]_complex"
"" "E377_dhna[c]_complex" "E409_pgp183_9_12_15[c]_complex"
"" "E377_dhna[c]_complex" "E168_pyr[c]_complex"
"" "E240_akg[c]_complex" "E377_dhna[c]_complex"
"" "E140_chlld[c]_complex" "E377_dhna[c]_complex"
"" "E361_3hmop[c]_complex" "E377_dhna[c]_complex"
"" "E209_h2o2[c]_iasp[c]_complex" "E377_dhna[c]_complex"
"" "E25_lipidAds[c]_udp[c]_complex" "E377_dhna[c]_complex"
"" "x(75)" "E377_dhna[c]_complex"
"" "E137_uaagmda[c]_udp[c]_complex" "E377_dhna[c]_complex"
"" "E334_pi[c]_complex" "E377_dhna[c]_complex"
"" "E81_k[c]_pi[c]_complex" "E377_dhna[c]_complex"
"" "E377_dhna[c]_complex" "E90_mg2[c]_pi[c]_complex"
"" "E377_dhna[c]_complex" "E8_pi[c]_complex"
"" "x(675)" "E377_dhna[c]_complex"
"" "2-Hydroxyphenylacetate" "E377_dhna[c]_complex"
"" "x(525)" "E491_cdpdhdecg[c]_complex"
"" "x(525)" "E491_cdpdodecg[c]_complex"
"" "1,4-Dihydroxy-2-naphthoate" "Diphosphate"
"" "x(525)" "x(713)"
"" "x(525)" "E491_cdpdodec11eg[c]_complex"
"" "x(525)" "E187_h2o[c]_complex"
"" "x(110)" "x(525)"
"" "x(525)" "E476_uacgam[c]_complex"
"" "x(525)" "x(547)"
"" "x(525)" "E491_cdpdodec9eg[c]_complex"
"" "x(526)" "x(85)"
"" "x(487)" "x(526)"
"" "x(526)" "x(685)"
"" "E429_atp[c]_fe2[p]_complex" "E452_amet[c]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E427_nadp[c]_complex"
"" "(x(489)" "E429_atp[c]_fe2[p]_complex"
"" "x(491))" "E429_atp[c]_fe2[p]_complex"
"" "x(812)" "E429_atp[c]_fe2[p]_complex"
"" "(x(194)" "E429_atp[c]_fe2[p]_complex"
"" "x(43)" "E429_atp[c]_fe2[p]_complex"
"" "E385_uppg3[c]_complex" "E429_atp[c]_fe2[p]_complex"
"" "E350_imacp[c]_complex" "E429_atp[c]_fe2[p]_complex"
"" "E360_3mob[c]_complex" "E429_atp[c]_fe2[p]_complex"
"" "E98_atp[c]_complex" "E429_atp[c]_fe2[p]_complex"
"" "E371_sucbz[c]_complex" "E429_atp[c]_fe2[p]_complex"
"" "x(521)" "E429_atp[c]_fe2[p]_complex"
"" "E376_14dh2napcoa[c]_complex" "E429_atp[c]_fe2[p]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E93_atp[c]_cu2[p]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E177_agm[c]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E14_dhpmp[c]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E199_udpsq[c]_complex"
"" "E47_fdp[c]_complex" "E429_atp[c]_fe2[p]_complex"
"" "E276_fdp[c]_complex" "E429_atp[c]_fe2[p]_complex"
"" "E170_arg__L[c]_complex" "E429_atp[c]_fe2[p]_complex"
"" "E17_4gudbutn[c]_complex" "E429_atp[c]_fe2[p]_complex"
"" "E178_4gudbutn[c]_complex" "E429_atp[c]_fe2[p]_complex"
"" "E110_asn__L[c]_complex" "E429_atp[c]_fe2[p]_complex"
"" "E131_asn__L[c]_complex" "E429_atp[c]_fe2[p]_complex"
"" "E258_gthrd[c]_complex" "E429_atp[c]_fe2[p]_complex"
"" "E42_cgly[c]_complex" "E429_atp[c]_fe2[p]_complex"
"" "E156_6pgl[c]_complex" "E429_atp[c]_fe2[p]_complex"
"" "E349_ctp[c]_complex" "E429_atp[c]_fe2[p]_complex"
"" "E49_2pglyc[c]_complex" "E429_atp[c]_fe2[p]_complex"
"" "E273_2pglyc[c]_complex" "E429_atp[c]_fe2[p]_complex"
"" "E274_2pglyc[c]_complex" "E429_atp[c]_fe2[p]_complex"
"" "E56_gtp[c]_complex" "E429_atp[c]_fe2[p]_complex"
"" "E58_amp[c]_complex" "E429_atp[c]_fe2[p]_complex"
"" "E315_amp[c]_complex" "E429_atp[c]_fe2[p]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E7_atp[c]_cobalt2[c]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E415_atp[c]_cobalt2[c]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E91_atp[c]_ca2[p]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E433_atp[c]_ca2[p]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E382_25dhpp[c]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E103_adprib[c]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E474_adprib[c]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E477_csn[c]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E316_fmn[c]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E105_gtp[c]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E482_amp[c]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E329_arg__L[c]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E121_cytd[c]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E122_amp[c]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E58_cmp[c]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E315_cmp[c]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E333_ctp[c]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E179_10fthf[c]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E88_atp[c]_cobalt2[p]_complex"
"" "E349_dctp[c]_complex" "E429_atp[c]_fe2[p]_complex"
"" "E56_trdox[c]_complex" "E429_atp[c]_fe2[p]_complex"
"" "E81_atp[c]_complex" "E429_atp[c]_fe2[p]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E90_atp[c]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E8_atp[c]_fe3[p]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E95_atp[c]_fe3[p]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E101_atp[c]_cobalt2[c]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E427_ipdp[c]_nadp[c]_complex"
"" "E429_atp[c]_fe2[p]_complex" "E150_dhpmp[c]_complex"
"" "E429_pi[c]_complex" "E442_pi[c]_complex"
"" "E429_pi[c]_complex" "E452_pre6a[c]_complex"
"" "E429_pi[c]_complex" "E468_adocbip[c]_gtp[c]_complex"
"" "E429_pi[c]_complex" "E473_nh3[c]_pac[c]_complex"
"" "E429_pi[c]_complex" "E421_dxyl5p[c]_complex"
"" "E429_pi[c]_complex" "E409_pgp181_9[c]_complex"
"" "x(198)" "E429_pi[c]_complex"
"" "E429_pi[c]_complex" "E175_pi[c]_complex"
"" "(x(216)" "E429_pi[c]_complex"
"" "x(503)" "E429_pi[c]_complex"
"" "E429_pi[c]_complex" "E488_nadph[c]_omppp9[c]_complex"
"" "E24_arg__L[c]_complex" "E429_pi[c]_complex"
"" "E344_ppi[c]_prbamp[c]_complex" "E429_pi[c]_complex"
"" "x(90))" "E429_pi[c]_complex"
"" "(x(513)" "E429_pi[c]_complex"
"" "E194_u23ga[c]_complex" "E429_pi[c]_complex"
"" "E57_asp__L[c]_complex" "E429_pi[c]_complex"
"" "E307_asp__L[c]_complex" "E429_pi[c]_complex"
"" "x(53)" "E429_pi[c]_complex"
"" "E406_ppi[c]_complex" "E429_pi[c]_complex"
"" "E476_acgam1p[c]_complex" "E429_pi[c]_complex"
"" "E13_udcpdp[c]_complex" "E429_pi[c]_complex"
"" "x(521)" "E429_pi[c]_complex"
"" "E429_pi[c]_complex" "E451_pre5[c]_complex"
"" "E429_pi[c]_complex" "E390_atp[c]_fmn[c]_complex"
"" "x(602)" "E429_pi[c]_complex"
"" "E429_pi[c]_complex" "E409_pgp183_9_12_15[c]_complex"
"" "E429_pi[c]_complex" "E168_pyr[c]_complex"
"" "E240_akg[c]_complex" "E429_pi[c]_complex"
"" "E140_chlld[c]_complex" "E429_pi[c]_complex"
"" "E361_3hmop[c]_complex" "E429_pi[c]_complex"
"" "E209_h2o2[c]_iasp[c]_complex" "E429_pi[c]_complex"
"" "E25_lipidAds[c]_udp[c]_complex" "E429_pi[c]_complex"
"" "x(75)" "E429_pi[c]_complex"
"" "E137_uaagmda[c]_udp[c]_complex" "E429_pi[c]_complex"
"" "E334_pi[c]_complex" "E429_pi[c]_complex"
"" "E81_k[c]_pi[c]_complex" "E429_pi[c]_complex"
"" "E429_pi[c]_complex" "E90_mg2[c]_pi[c]_complex"
"" "E429_pi[c]_complex" "E8_pi[c]_complex"
"" "x(675)" "E429_pi[c]_complex"
"" "2-Hydroxyphenylacetate" "E429_pi[c]_complex"
"" "Fe2+ mitochondria" "Phosphate"
"" "Fe2+ mitochondria" "Fe2+ mitochondria"
"" "ATP C10H12N5O13P3" "Fe2+ mitochondria"
"" "E43_h[c]_nadph[c]_complex" "E379_34hpp[c]_complex"
"" "E379_34hpp[c]_complex" "E111_h[c]_hmppp9[c]_nadph[c]_complex"
"" "E249_gly[c]_h2o[c]_complex" "E379_34hpp[c]_complex"
"" "E209_asp__L[c]_h2o[c]_complex" "E379_34hpp[c]_complex"
"" "E379_34hpp[c]_complex" "E76_fmnh2[c]_h[c]_nadh[c]_complex"
"" "E379_34hpp[c]_complex" "E394_fmnh2[c]_h[c]_nadh[c]_complex"
"" "E379_34hpp[c]_complex" "E4_glyclt[c]_complex"
"" "E379_34hpp[c]_complex" "E291_glyclt[c]_complex"
"" "E499_h[c]_mppp9om[c]_nadph[c]_complex" "E379_34hpp[c]_complex"
"" "E379_34hpp[c]_complex" "E43_h[c]_nadph[c]_neuspn[c]_complex"
"" "E8_fe3[c]_h[c]_pi[c]_complex" "E109_h[c]_mppp9[c]_pi[c]_complex"
"" "E8_fe3[c]_h[c]_pi[c]_complex" "E351_dtdp[c]_complex"
"" "E439_coa[c]_h[c]_complex" "E8_fe3[c]_h[c]_pi[c]_complex"
"" "E133_h[c]_pi[c]_ugmda[c]_complex" "E8_fe3[c]_h[c]_pi[c]_complex"
"" "E319_dttp[c]_complex" "E8_fe3[c]_h[c]_pi[c]_complex"
"" "E351_dudp[c]_complex" "E8_fe3[c]_h[c]_pi[c]_complex"
"" "E78_h[c]_mn2[c]_pi[c]_complex" "E8_fe3[c]_h[c]_pi[c]_complex"
"" "E8_fe3[c]_h[c]_pi[c]_complex" "E95_fe3[c]_h[c]_pi[c]_complex"
"" "(x(407)&x(410))" "E8_fe3[c]_h[c]_pi[c]_complex"
"" "E260_h[c]_skm5p[c]_complex" "E8_fe3[c]_h[c]_pi[c]_complex"
"" "E492_h[c]_pi[c]_uama[c]_complex" "E8_fe3[c]_h[c]_pi[c]_complex"
"" "E495_h[c]_pi[c]_uamag[c]_complex" "E8_fe3[c]_h[c]_pi[c]_complex"
"" "E498_h[c]_pi[c]_ugmd[c]_complex" "E8_fe3[c]_h[c]_pi[c]_complex"
"" "E506_alaala[c]_h[c]_pi[c]_complex" "E8_fe3[c]_h[c]_pi[c]_complex"
"" "E319_datp[c]_complex" "E8_fe3[c]_h[c]_pi[c]_complex"
"" "E98_h[c]_pi[c]_so4[c]_complex" "E8_fe3[c]_h[c]_pi[c]_complex"
"" "E429_fe2[c]_h[c]_pi[c]_complex" "E8_fe3[c]_h[c]_pi[c]_complex"
"" "E8_fe3[c]_h[c]_pi[c]_complex" "E442_cu2[c]_h[c]_pi[c]_complex"
"" "E8_fe3[c]_h[c]_pi[c]_complex" "E467_h[c]_pi[c]_complex"
"" "E8_fe3[c]_h[c]_pi[c]_complex" "E188_pppi[c]_complex"
"" "E8_fe3[c]_h[c]_pi[c]_complex" "E319_dutp[c]_complex"
"" "E356_avite1[c]_h[c]_complex" "E449_h[c]_pre3a[c]_complex"
"" "E449_h[c]_pre3a[c]_complex" "E450_h[c]_pre4[c]_complex"
"" "E449_h[c]_pre3a[c]_complex" "E452_h[c]_pre6a[c]_complex"
"" "E449_h[c]_pre3a[c]_complex" "E362_h[c]_complex"
"" "E356_h[c]_complex" "E449_h[c]_pre3a[c]_complex"
"" "E378_h[c]_phllqne[c]_complex" "E449_h[c]_pre3a[c]_complex"
"" "(x(649)&x(648))" "E442_cu2[p]_complex"
"" "E442_cu2[p]_complex" "E465_co1dam[c]_complex"
"" "x(148)" "E442_cu2[p]_complex"
"" "E442_cu2[p]_complex" "E319_dcdp[c]_complex"
"" "E141_acglu[c]_complex" "E442_cu2[p]_complex"
"" "E154_asp__L[c]_citr__L[c]_complex" "E442_cu2[p]_complex"
"" "E498_26dap__M[c]_complex" "E442_cu2[p]_complex"
"" "E319_dgdp[c]_complex" "E442_cu2[p]_complex"
"" "E442_cu2[p]_complex" "E467_adcobhex[c]_applp[c]_complex"
"" "E442_cu2[p]_complex" "E351_dtmp[c]_complex"
"" "E247_ac[c]_coa[c]_complex" "E442_cu2[p]_complex"
"" "E442_cu2[p]_complex" "E480_5fthf[c]_complex"
"" "E442_cu2[p]_complex" "E213_aps[c]_complex"
"" "x(86)" "E442_cu2[p]_complex"
"" "(x(698)&x(694)&x(696)&x(699))" "E442_cu2[p]_complex"
"" "E372_coa[c]_complex" "E442_cu2[p]_complex"
"" "x(615)" "E442_cu2[p]_complex"
"" "E93_cu2[p]_complex" "E442_cu2[p]_complex"
"" "E442_pi[c]_complex" "E452_pre6a[c]_complex"
"" "E442_pi[c]_complex" "E468_adocbip[c]_gtp[c]_complex"
"" "E442_pi[c]_complex" "E473_nh3[c]_pac[c]_complex"
"" "E442_pi[c]_complex" "E421_dxyl5p[c]_complex"
"" "E442_pi[c]_complex" "E409_pgp181_9[c]_complex"
"" "x(198)" "E442_pi[c]_complex"
"" "E442_pi[c]_complex" "E175_pi[c]_complex"
"" "(x(216)" "E442_pi[c]_complex"
"" "x(503)" "E442_pi[c]_complex"
"" "E442_pi[c]_complex" "E488_nadph[c]_omppp9[c]_complex"
"" "E24_arg__L[c]_complex" "E442_pi[c]_complex"
"" "E344_ppi[c]_prbamp[c]_complex" "E442_pi[c]_complex"
"" "x(90))" "E442_pi[c]_complex"
"" "(x(513)" "E442_pi[c]_complex"
"" "E194_u23ga[c]_complex" "E442_pi[c]_complex"
"" "E57_asp__L[c]_complex" "E442_pi[c]_complex"
"" "E307_asp__L[c]_complex" "E442_pi[c]_complex"
"" "x(53)" "E442_pi[c]_complex"
"" "E406_ppi[c]_complex" "E442_pi[c]_complex"
"" "E476_acgam1p[c]_complex" "E442_pi[c]_complex"
"" "E13_udcpdp[c]_complex" "E442_pi[c]_complex"
"" "x(521)" "E442_pi[c]_complex"
"" "E442_pi[c]_complex" "E451_pre5[c]_complex"
"" "E442_pi[c]_complex" "E390_atp[c]_fmn[c]_complex"
"" "x(602)" "E442_pi[c]_complex"
"" "E442_pi[c]_complex" "E409_pgp183_9_12_15[c]_complex"
"" "E442_pi[c]_complex" "E168_pyr[c]_complex"
"" "E240_akg[c]_complex" "E442_pi[c]_complex"
"" "E140_chlld[c]_complex" "E442_pi[c]_complex"
"" "E361_3hmop[c]_complex" "E442_pi[c]_complex"
"" "E209_h2o2[c]_iasp[c]_complex" "E442_pi[c]_complex"
"" "E25_lipidAds[c]_udp[c]_complex" "E442_pi[c]_complex"
"" "x(75)" "E442_pi[c]_complex"
"" "E137_uaagmda[c]_udp[c]_complex" "E442_pi[c]_complex"
"" "E334_pi[c]_complex" "E442_pi[c]_complex"
"" "E81_k[c]_pi[c]_complex" "E442_pi[c]_complex"
"" "E90_mg2[c]_pi[c]_complex" "E442_pi[c]_complex"
"" "E8_pi[c]_complex" "E442_pi[c]_complex"
"" "x(675)" "E442_pi[c]_complex"
"" "2-Hydroxyphenylacetate" "E442_pi[c]_complex"
"" "(x(649)&x(648))" "E465_co1dam[c]_complex"
"" "(x(649)&x(648))" "E319_dcdp[c]_complex"
"" "(x(649)&x(648))" "E141_acglu[c]_complex"
"" "(x(649)&x(648))" "E154_asp__L[c]_citr__L[c]_complex"
"" "(x(649)&x(648))" "E498_26dap__M[c]_complex"
"" "(x(649)&x(648))" "E319_dgdp[c]_complex"
"" "(x(649)&x(648))" "E467_adcobhex[c]_applp[c]_complex"
"" "(x(649)&x(648))" "E351_dtmp[c]_complex"
"" "(x(649)&x(648))" "E247_ac[c]_coa[c]_complex"
"" "(x(649)&x(648))" "E480_5fthf[c]_complex"
"" "(x(649)&x(648))" "E213_aps[c]_complex"
"" "(x(649)&x(648))" "x(86)"
"" "(x(649)&x(648))" "(x(698)&x(694)&x(696)&x(699))"
"" "(x(649)&x(648))" "E372_coa[c]_complex"
"" "(x(649)&x(648))" "x(615)"
"" "(x(649)&x(648))" "E93_cu2[p]_complex"
"" "E452_amet[c]_complex" "E427_nadp[c]_complex"
"" "(x(489)" "E452_amet[c]_complex"
"" "x(491))" "E452_amet[c]_complex"
"" "x(812)" "E452_amet[c]_complex"
"" "(x(194)" "E452_amet[c]_complex"
"" "x(43)" "E452_amet[c]_complex"
"" "E385_uppg3[c]_complex" "E452_amet[c]_complex"
"" "E350_imacp[c]_complex" "E452_amet[c]_complex"
"" "E360_3mob[c]_complex" "E452_amet[c]_complex"
"" "E98_atp[c]_complex" "E452_amet[c]_complex"
"" "E371_sucbz[c]_complex" "E452_amet[c]_complex"
"" "x(521)" "E452_amet[c]_complex"
"" "E376_14dh2napcoa[c]_complex" "E452_amet[c]_complex"
"" "E93_atp[c]_cu2[p]_complex" "E452_amet[c]_complex"
"" "E452_amet[c]_complex" "E177_agm[c]_complex"
"" "E452_amet[c]_complex" "E14_dhpmp[c]_complex"
"" "E452_amet[c]_complex" "E199_udpsq[c]_complex"
"" "E47_fdp[c]_complex" "E452_amet[c]_complex"
"" "E276_fdp[c]_complex" "E452_amet[c]_complex"
"" "E170_arg__L[c]_complex" "E452_amet[c]_complex"
"" "E17_4gudbutn[c]_complex" "E452_amet[c]_complex"
"" "E178_4gudbutn[c]_complex" "E452_amet[c]_complex"
"" "E110_asn__L[c]_complex" "E452_amet[c]_complex"
"" "E131_asn__L[c]_complex" "E452_amet[c]_complex"
"" "E258_gthrd[c]_complex" "E452_amet[c]_complex"
"" "E42_cgly[c]_complex" "E452_amet[c]_complex"
"" "E156_6pgl[c]_complex" "E452_amet[c]_complex"
"" "E349_ctp[c]_complex" "E452_amet[c]_complex"
"" "E49_2pglyc[c]_complex" "E452_amet[c]_complex"
"" "E273_2pglyc[c]_complex" "E452_amet[c]_complex"
"" "E274_2pglyc[c]_complex" "E452_amet[c]_complex"
"" "E56_gtp[c]_complex" "E452_amet[c]_complex"
"" "E58_amp[c]_complex" "E452_amet[c]_complex"
"" "E315_amp[c]_complex" "E452_amet[c]_complex"
"" "E7_atp[c]_cobalt2[c]_complex" "E452_amet[c]_complex"
"" "E415_atp[c]_cobalt2[c]_complex" "E452_amet[c]_complex"
"" "E91_atp[c]_ca2[p]_complex" "E452_amet[c]_complex"
"" "E433_atp[c]_ca2[p]_complex" "E452_amet[c]_complex"
"" "E382_25dhpp[c]_complex" "E452_amet[c]_complex"
"" "E452_amet[c]_complex" "E103_adprib[c]_complex"
"" "E452_amet[c]_complex" "E474_adprib[c]_complex"
"" "E452_amet[c]_complex" "E477_csn[c]_complex"
"" "E452_amet[c]_complex" "E316_fmn[c]_complex"
"" "E452_amet[c]_complex" "E105_gtp[c]_complex"
"" "E452_amet[c]_complex" "E482_amp[c]_complex"
"" "E452_amet[c]_complex" "E329_arg__L[c]_complex"
"" "E452_amet[c]_complex" "E121_cytd[c]_complex"
"" "E452_amet[c]_complex" "E122_amp[c]_complex"
"" "E452_amet[c]_complex" "E58_cmp[c]_complex"
"" "E452_amet[c]_complex" "E315_cmp[c]_complex"
"" "E452_amet[c]_complex" "E333_ctp[c]_complex"
"" "E452_amet[c]_complex" "E179_10fthf[c]_complex"
"" "E452_amet[c]_complex" "E88_atp[c]_cobalt2[p]_complex"
"" "E349_dctp[c]_complex" "E452_amet[c]_complex"
"" "E56_trdox[c]_complex" "E452_amet[c]_complex"
"" "E81_atp[c]_complex" "E452_amet[c]_complex"
"" "E90_atp[c]_complex" "E452_amet[c]_complex"
"" "E8_atp[c]_fe3[p]_complex" "E452_amet[c]_complex"
