"V1" "V2"
"" "pphn[c]" "E170_ac[c]_atp[c]_coa[c]_complex"
"" "h[c]" "E239_glu_L[c]_complex"
"" "h[c]" "E239_asp_L[c]_complex"
"" "E104_accoa[h]_complex" "E249_3ig3p[h]_complex"
"" "E44_3ig3p[h]_complex" "E249_3ig3p[h]_complex"
"" "E17_atp[h]_glu_L[h]_h[h]_complex" "E142_atp[h]_glu_L[h]_h[h]_complex"
"" "E264_h[h]_mppp9me[h]_nadph[h]_complex" "E47_13hmppp9me[h]_h[h]_nadph[h]_complex"
"" "E105_cys_L[h]_complex" "E264_h[h]_mppp9me[h]_nadph[h]_complex"
"" "E263_cpppg3[h]_h[h]_complex" "E264_h[h]_mppp9me[h]_nadph[h]_complex"
"" "E47_h[h]_mppp9me[h]_nadph[h]_complex" "E264_h[h]_mppp9me[h]_nadph[h]_complex"
"" "E264_h[h]_mppp9me[h]_nadph[h]_complex" "E264_13hmppp9me[h]_h[h]_nadph[h]_complex"
"" "E105_cys_L[h]_complex" "E47_13hmppp9me[h]_h[h]_nadph[h]_complex"
"" "E263_cpppg3[h]_h[h]_complex" "E47_13hmppp9me[h]_h[h]_nadph[h]_complex"
"" "E47_h[h]_mppp9me[h]_nadph[h]_complex" "E47_13hmppp9me[h]_h[h]_nadph[h]_complex"
"" "E47_13hmppp9me[h]_h[h]_nadph[h]_complex" "E264_13hmppp9me[h]_h[h]_nadph[h]_complex"
"" "E48_atp[h]_h2o[h]_mg2[h]_complex" "E404_atp[h]_h2o[h]_mg2[h]_complex"
"" "E270_mppp9me[h]_complex" "E273_5aop[h]_complex"
"" "E18_asp_L[h]_atp[h]_complex" "E273_5aop[h]_complex"
"" "E151_asp_L[h]_atp[h]_complex" "E273_5aop[h]_complex"
"" "E30_3pg[h]_atp[h]_complex" "E273_5aop[h]_complex"
"" "E32_dgdp[c]_h[c]_complex" "E192_dgdp[c]_h[c]_complex"
"" "E32_adp[c]_h[c]_complex" "E32_dgdp[c]_h[c]_complex"
"" "E190_adp[c]_h[c]_complex" "E32_dgdp[c]_h[c]_complex"
"" "E191_adp[c]_h[c]_complex" "E32_dgdp[c]_h[c]_complex"
"" "E192_adp[c]_h[c]_complex" "E32_dgdp[c]_h[c]_complex"
"" "E32_dgdp[c]_h[c]_complex" "E190_dgdp[c]_h[c]_complex"
"" "E32_dgdp[c]_h[c]_complex" "E191_dgdp[c]_h[c]_complex"
"" "E32_dgdp[c]_h[c]_complex" "E32_gdp[c]_h[c]_complex"
"" "E32_dgdp[c]_h[c]_complex" "E190_gdp[c]_h[c]_complex"
"" "E32_dgdp[c]_h[c]_complex" "E191_gdp[c]_h[c]_complex"
"" "E32_dgdp[c]_h[c]_complex" "E192_gdp[c]_h[c]_complex"
"" "E32_dgdp[c]_h[c]_complex" "E56_co2[c]_h2o[c]_complex"
"" "E32_adp[c]_h[c]_complex" "E192_dgdp[c]_h[c]_complex"
"" "E190_adp[c]_h[c]_complex" "E192_dgdp[c]_h[c]_complex"
"" "E191_adp[c]_h[c]_complex" "E192_dgdp[c]_h[c]_complex"
"" "E192_adp[c]_h[c]_complex" "E192_dgdp[c]_h[c]_complex"
"" "E190_dgdp[c]_h[c]_complex" "E192_dgdp[c]_h[c]_complex"
"" "E191_dgdp[c]_h[c]_complex" "E192_dgdp[c]_h[c]_complex"
"" "E192_dgdp[c]_h[c]_complex" "E32_gdp[c]_h[c]_complex"
"" "E192_dgdp[c]_h[c]_complex" "E190_gdp[c]_h[c]_complex"
"" "E192_dgdp[c]_h[c]_complex" "E191_gdp[c]_h[c]_complex"
"" "E192_dgdp[c]_h[c]_complex" "E192_gdp[c]_h[c]_complex"
"" "E192_dgdp[c]_h[c]_complex" "E56_co2[c]_h2o[c]_complex"
"" "trdrd[c]" "E287_amp[c]_complex"
"" "E_31" "E287_amp[c]_complex"
"" "E_81" "E287_amp[c]_complex"
"" "E287_amp[c]_complex" "E346_4ahmmp[c]_complex"
"" "E282_adn[c]_complex" "E287_amp[c]_complex"
"" "E51_amp[c]_complex" "E287_amp[c]_complex"
"" "E285_amp[c]_complex" "E287_amp[c]_complex"
"" "E286_amp[c]_complex" "E287_amp[c]_complex"
"" "E287_amp[c]_complex" "E302_5aizc[c]_asp_L[c]_complex"
"" "E287_amp[c]_complex" "E345_4mhetz[c]_complex"
"" "E287_amp[c]_complex" "E346_4ampm[c]_complex"
"" "atp[c]" "E53_gdp[c]_complex"
"" "E53_gdp[c]_complex" "E293_cdp[c]_complex"
"" "E53_adp[c]_complex" "E53_gdp[c]_complex"
"" "E293_adp[c]_complex" "E53_gdp[c]_complex"
"" "ctp[c]" "E53_gdp[c]_complex"
"" "E53_gdp[c]_complex" "E53_cdp[c]_complex"
"" "E211_gmp[c]_complex" "E312_dcdp[c]_complex"
"" "E211_gmp[c]_complex" "E54_dcmp[c]_h[c]_complex"
"" "E211_gmp[c]_complex" "E211_dcmp[c]_complex"
"" "lnlccoa[c]" "E211_gmp[c]_complex"
"" "lnlncgcoa[c]" "E211_gmp[c]_complex"
"" "lnlncacoa[c]" "E211_gmp[c]_complex"
"" "E129_f26bp[c]_complex" "E211_gmp[c]_complex"
"" "E204_thdp[c]_complex" "E211_gmp[c]_complex"
"" "E283_amp[c]_h[c]_complex" "E211_gmp[c]_complex"
"" "E183_asp_L[c]_atp[c]_gln_L[c]_complex" "E211_gmp[c]_complex"
"" "E45_chitob[c]_complex" "E211_gmp[c]_complex"
"" "E265_chitob[c]_complex" "E211_gmp[c]_complex"
"" "chit[c]" "E211_gmp[c]_complex"
"" "E99_ahcys[c]_complex" "E211_gmp[c]_complex"
"" "E135_1Dgali[c]_complex" "E211_gmp[c]_complex"
"" "E169_13dpg[c]_complex" "E211_gmp[c]_complex"
"" "E211_gmp[c]_complex" "E313_dcmp[c]_h[c]_complex"
"" "E23_fdp[c]_complex" "E211_gmp[c]_complex"
"" "E172_fdp[c]_complex" "E211_gmp[c]_complex"
"" "E278_3hpcoa[c]_complex" "E211_gmp[c]_complex"
"" "E281_adn[c]_h[c]_complex" "E211_gmp[c]_complex"
"" "gsn[c]" "E211_gmp[c]_complex"
"" "E211_gmp[c]_complex" "E297_gua[c]_h[c]_complex"
"" "E211_gmp[c]_complex" "E406_gtp[c]_complex"
"" "E211_gmp[c]_complex" "E311_cytd[c]_h[c]_complex"
"" "E211_gmp[c]_complex" "E211_cmp[c]_complex"
"" "E211_gmp[c]_complex" "E312_dctp[c]_complex"
"" "E211_gmp[c]_complex" "E317_dutp[c]_complex"
"" "E211_gmp[c]_complex" "E211_dump[c]_complex"
"" "E211_gmp[c]_complex" "E211_dtmp[c]_complex"
"" "E211_gmp[c]_complex" "E327_cellb[c]_complex"
"" "paps[c]" "E211_gmp[c]_complex"
"" "thm[c]" "E211_gmp[c]_complex"
"" "thmmp[c]" "E211_gmp[c]_complex"
"" "thmppp[c]" "E211_gmp[c]_complex"
"" "E211_gmp[c]_complex" "E322_3mob[c]_accoa[c]_complex"
"" "trdrd[c]" "E_31"
"" "trdrd[c]" "E_81"
"" "trdrd[c]" "E346_4ahmmp[c]_complex"
"" "atp[c]" "E293_cdp[c]_complex"
"" "trdrd[c]" "E282_adn[c]_complex"
"" "trdrd[c]" "E51_amp[c]_complex"
"" "trdrd[c]" "E285_amp[c]_complex"
"" "trdrd[c]" "E286_amp[c]_complex"
"" "atp[c]" "E53_adp[c]_complex"
"" "atp[c]" "E293_adp[c]_complex"
"" "trdrd[c]" "E302_5aizc[c]_asp_L[c]_complex"
"" "atp[c]" "ctp[c]"
"" "atp[c]" "E53_cdp[c]_complex"
"" "trdrd[c]" "E345_4mhetz[c]_complex"
"" "trdrd[c]" "E346_4ampm[c]_complex"
"" "E312_dcdp[c]_complex" "E54_dcmp[c]_h[c]_complex"
"" "E312_dcdp[c]_complex" "E211_dcmp[c]_complex"
"" "lnlccoa[c]" "E312_dcdp[c]_complex"
"" "lnlncgcoa[c]" "E312_dcdp[c]_complex"
"" "lnlncacoa[c]" "E312_dcdp[c]_complex"
"" "E129_f26bp[c]_complex" "E312_dcdp[c]_complex"
"" "E204_thdp[c]_complex" "E312_dcdp[c]_complex"
"" "E283_amp[c]_h[c]_complex" "E312_dcdp[c]_complex"
"" "E183_asp_L[c]_atp[c]_gln_L[c]_complex" "E312_dcdp[c]_complex"
"" "E45_chitob[c]_complex" "E312_dcdp[c]_complex"
"" "E265_chitob[c]_complex" "E312_dcdp[c]_complex"
