"" "(E,E,E,E,E,E,E,Z,Z) Decaprenyl diphosphate" "All trans Decaprenyl diphosphate"
"" "E1_trdrd[c]_complex" "E22_trdrd[c]_complex"
"" "E139_ipdp[c]_complex" "E138_ipdp[c]_complex"
"" "E1_gdp[c]_complex" "E22_gdp[c]_complex"
"" "E1_gdp[c]_complex" "E20_adp[c]_complex"
"" "E22_gdp[c]_complex" "E20_adp[c]_complex"
"" "E285_atp[c]_uama[c]_complex" "E285_atp[c]_ugma[c]_complex"
"" "E289_uagmda[c]_complex" "E289_uaGgla[c]_complex"
"" "E289_uagmda[c]_complex" "E289_uaAgla[c]_complex"
"" "E289_uagmda[c]_complex" "E322_pep[c]_complex"
"" "E289_uagmda[c]_complex" "E289_ugggmda[c]_complex"
"" "E289_uagmda[c]_complex" "E500_udcpp[c]_complex"
"" "E289_uaGgla[c]_complex" "E289_uaAgla[c]_complex"
"" "E289_uaGgla[c]_complex" "E322_pep[c]_complex"
"" "E289_uaGgla[c]_complex" "E289_ugggmda[c]_complex"
"" "E289_uaGgla[c]_complex" "E500_udcpp[c]_complex"
"" "E21_h2o[c]_complex" "E210_h2o[c]_complex"
"" "E289_uaAgla[c]_complex" "E322_pep[c]_complex"
"" "E289_uaAgla[c]_complex" "E289_ugggmda[c]_complex"
"" "E289_uaAgla[c]_complex" "E500_udcpp[c]_complex"
"" "E322_pep[c]_complex" "E289_ugggmda[c]_complex"
"" "E322_pep[c]_complex" "E500_udcpp[c]_complex"
"" "UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine" "UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysine"
"" "UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate" "UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine"
"" "UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate" "UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysine"
"" "E291_atp[c]_uamag[c]_complex" "E291_atp[c]_ugmag[c]_complex"
"" "E48_tre[c]_complex" "E330_tre[c]_complex"
"" "E264_gdp[c]_h[c]_complex" "E264_gtp[c]_h[c]_complex"
"" "E53_mlthf[c]_complex" "E342_mlthf[c]_complex"
"" "E347_h[e]_complex" "E123_o2[c]_complex"
"" "E65_h2o[c]_nad[c]_complex" "E161_h2o[c]_complex"
"" "E65_h2o[c]_nad[c]_complex" "E444_asp__L[c]_gtp[c]_complex"
"" "E355_lac__L[c]_complex" "E51_h[c]_qh2[c]_complex"
"" "E360_h2o[c]_complex" "E132_atp[c]_hdca[c]_complex"
"" "E289_ugggmda[c]_complex" "E500_udcpp[c]_complex"
"" "E391_prlp[c]_complex" "E16_h2o[c]_prpp[c]_complex"
"" "E391_prlp[c]_complex" "E196_h2o[c]_prpp[c]_complex"
"" "E391_prlp[c]_complex" "E72_chor[c]_complex"
"" "E391_prlp[c]_complex" "E402_chor[c]_complex"
"" "E510_gly[c]_thf[c]_complex" "E58_nadph[c]_complex"
"" "E510_gly[c]_thf[c]_complex" "E420_ala__L[c]_h2o[c]_complex"
"" "((x(463)&x(460))" "x(461))"
"" "((x(463)&x(460))" "E71_nadp[c]_complex"
"" "((x(463)&x(460))" "E404_nadp[c]_complex"
"" "x(461))" "E71_nadp[c]_complex"
"" "x(461))" "E404_nadp[c]_complex"
"" "E71_nadp[c]_complex" "E404_nadp[c]_complex"
"" "E74_glu__L[c]_complex" "E409_glu__L[c]_complex"
"" "E74_glu__L[c]_complex" "E411_glu__L[c]_complex"
"" "E409_glu__L[c]_complex" "E411_glu__L[c]_complex"
"" "E133_succoa[c]_complex" "E414_atp[c]_complex"
"" "E15_gln__L[c]_h[c]_nadph[c]_complex" "E309_h[c]_complex"
"" "E16_h2o[c]_prpp[c]_complex" "E196_h2o[c]_prpp[c]_complex"
"" "E16_h2o[c]_prpp[c]_complex" "E72_chor[c]_complex"
"" "E16_h2o[c]_prpp[c]_complex" "E402_chor[c]_complex"
"" "E196_h2o[c]_prpp[c]_complex" "E72_chor[c]_complex"
"" "E196_h2o[c]_prpp[c]_complex" "E402_chor[c]_complex"
"" "E202_h[c]_complex" "E205_atp[c]_cys__L[c]_complex"
"" "E202_h[c]_complex" "E207_atp[c]_complex"
"" "E202_h[c]_complex" "E23_atp[c]_nh4[c]_complex"
"" "E202_h[c]_complex" "E315_accoa[c]_complex"
"" "E205_atp[c]_cys__L[c]_complex" "E207_atp[c]_complex"
"" "E205_atp[c]_cys__L[c]_complex" "E23_atp[c]_nh4[c]_complex"
"" "E205_atp[c]_cys__L[c]_complex" "E315_accoa[c]_complex"
"" "E207_atp[c]_complex" "E23_atp[c]_nh4[c]_complex"
"" "E207_atp[c]_complex" "E315_accoa[c]_complex"
"" "E23_atp[c]_nh4[c]_complex" "E315_accoa[c]_complex"
"" "E215_atp[c]_h[c]_complex" "E249_h[c]_utp[c]_complex"
"" "E25_ser__L[c]_complex" "E223_ser__L[c]_complex"
"" "E35_nadp[c]_complex" "E262_nadp[c]_complex"
"" "E265_h[c]_nadh[c]_complex" "E265_h[c]_nadph[c]_complex"
"" "E75_h[c]_pyr[c]_complex" "E413_h[c]_pyr[c]_complex"
"" "E286_Ac1PIM1[c]_complex" "E211_decd_tb[c]_complex"
"" "(x(61)" "E286_Ac1PIM1[c]_complex"
"" "x(66))" "E286_Ac1PIM1[c]_complex"
"" "E79_amet[c]_complex" "E276_amet[c]_complex"
"" "E79_amet[c]_complex" "E479_ser__L[c]_complex"
"" "E276_amet[c]_complex" "E479_ser__L[c]_complex"
"" "E161_h2o[c]_complex" "E444_asp__L[c]_gtp[c]_complex"
"" "E339_h2o[c]_complex" "E170_h2o[c]_complex"
"" "E339_h2o[c]_complex" "E442_h2o[c]_complex"
"" "E171_h2o[c]_complex" "E337_atp[c]_nh4[c]_complex"
"" "E170_h2o[c]_complex" "E442_h2o[c]_complex"
"" "E137_prpp[c]_complex" "E166_h2o[c]_h[c]_complex"
"" "E70_amet[c]_complex" "E396_amet[c]_complex"
"" "E58_nadph[c]_complex" "E420_ala__L[c]_h2o[c]_complex"
"" "Cyclopropanated keto-meroacid ACP (1 cyclopropane ring)" "Cyclopropanated methoxy-meroacid ACP (1 cyclopropane ring)"
"" "E89_h2o[c]_complex" "E507_h2o[c]_complex"
"" "E18_nadp[c]_complex" "E520_nadp[c]_complex"
"" "Cyclopropanated keto-meroacid ACP (2 cyclopropane rings)" "Cyclopropanated methoxy-meroacid ACP (2 cyclopropane rings)"
"" "Cyclopropanated keto-meroacid ACP (2 cyclopropane rings)" "Cyclopropanated alpha meroacid ACP (2 cyclopropane rings)"
"" "Cyclopropanated methoxy-meroacid ACP (2 cyclopropane rings)" "Cyclopropanated alpha meroacid ACP (2 cyclopropane rings)"
"" "E69_amet[c]_h2o[c]_complex" "E399_amet[c]_h2o[c]_complex"
"" "E70_amet[c]_h2o[c]_complex" "E397_amet[c]_h2o[c]_complex"
"" "E68_amet[c]_complex" "E400_amet[c]_complex"
"" "(x(61)" "E211_decd_tb[c]_complex"
"" "x(66))" "E211_decd_tb[c]_complex"
"" "Copper" "Copper"
"" "(x(61)" "x(66))"
"" "E148_gtp[c]_complex" "E473_h2o[c]_h[c]_complex"
"" "E443_mqn8[c]_complex" "E443_q8[c]_complex"
"" "E482_h2o[c]_complex" "E177_h2o[c]_complex"
"" "E104_acser[c]_complex" "E486_acser[c]_complex"
"" "E90_h[c]_nadph[c]_o2[c]_complex" "E457_h[c]_nadph[c]_o2[c]_complex"
"" "E52_accoa[c]_h2o[c]_complex" "E340_accoa[c]_h2o[c]_complex"
"" "E52_accoa[c]_h2o[c]_complex" "E341_accoa[c]_h2o[c]_complex"
"" "E340_accoa[c]_h2o[c]_complex" "E341_accoa[c]_h2o[c]_complex"
"" "5-phosphoarabinose pyrophosphate" "E462_prpp[c]_complex"
"" "Decaprenylphosphoryl-beta-D-5-phosphoarabinofuranose" "Decaprenylphosphoryl-beta-D-5-phosphoribose"
"" "E356_cdpc16c19g[c]_complex" "E356_cdpdhdecg[c]_complex"
"" "E80_1msg3p[c]_complex" "E434_1msg3p[c]_complex"
"" "E452_gtp[c]_complex" "E452_atp[c]_complex"
"" "E452_gtp[c]_complex" "E493_h2o[c]_h[c]_complex"
"" "E452_atp[c]_complex" "E493_h2o[c]_h[c]_complex"
"" "E456_h[c]_complex" "E91_nad[c]_complex"
"" "E72_chor[c]_complex" "E402_chor[c]_complex"
"" "E11_h[c]_complex" "E109_h[c]_complex"
"" "E11_h[c]_complex" "E110_h[c]_complex"
"" "E11_h[c]_complex" "E111_h[c]_complex"
"" "E11_h[c]_complex" "E112_h[c]_complex"
"" "E109_h[c]_complex" "E110_h[c]_complex"
"" "E109_h[c]_complex" "E111_h[c]_complex"
