"V1" "V2"
"" "E160_cytd[c]_h[c]_complex" "E254_datp[c]_complex"
"" "E160_cytd[c]_h[c]_complex" "E183_gtp[c]_complex"
"" "E160_cytd[c]_h[c]_complex" "E64_5aprbu[c]_complex"
"" "E160_cytd[c]_h[c]_complex" "E254_atp[c]_complex"
"" "E160_cytd[c]_h[c]_complex" "E292_dgmp[c]_complex"
"" "E160_cytd[c]_h[c]_complex" "E292_dcmp[c]_complex"
"" "E160_cytd[c]_h[c]_complex" "E54_gmp[c]_complex"
"" "E160_cytd[c]_h[c]_complex" "E296_gmp[c]_complex"
"" "E160_cytd[c]_h[c]_complex" "E112_6pgl[c]_complex"
"" "E160_cytd[c]_h[c]_complex" "E292_damp[c]_complex"
"" "E160_cytd[c]_h[c]_complex" "E54_cmp[c]_complex"
"" "E160_cytd[c]_h[c]_complex" "E296_cmp[c]_complex"
"" "E81_25dhpp[c]_h[c]_complex" "E15_cellb[c]_complex"
"" "E81_25dhpp[c]_h[c]_complex" "E116_cellb[c]_complex"
"" "E81_25dhpp[c]_h[c]_complex" "E289_dhap[c]_complex"
"" "E81_25dhpp[c]_h[c]_complex" "E254_dgtp[c]_complex"
"" "E81_25dhpp[c]_h[c]_complex" "E254_gtp[c]_complex"
"" "E81_25dhpp[c]_h[c]_complex" "E254_dctp[c]_complex"
"" "E81_25dhpp[c]_h[c]_complex" "E254_ctp[c]_complex"
"" "E81_25dhpp[c]_h[c]_complex" "E254_datp[c]_complex"
"" "E81_25dhpp[c]_h[c]_complex" "E183_gtp[c]_complex"
"" "E81_25dhpp[c]_h[c]_complex" "E64_5aprbu[c]_complex"
"" "E81_25dhpp[c]_h[c]_complex" "E254_atp[c]_complex"
"" "E81_25dhpp[c]_h[c]_complex" "E292_dgmp[c]_complex"
"" "E81_25dhpp[c]_h[c]_complex" "E292_dcmp[c]_complex"
"" "E81_25dhpp[c]_h[c]_complex" "E54_gmp[c]_complex"
"" "E81_25dhpp[c]_h[c]_complex" "E296_gmp[c]_complex"
"" "E81_25dhpp[c]_h[c]_complex" "E112_6pgl[c]_complex"
"" "E81_25dhpp[c]_h[c]_complex" "E292_damp[c]_complex"
"" "E81_25dhpp[c]_h[c]_complex" "E54_cmp[c]_complex"
"" "E81_25dhpp[c]_h[c]_complex" "E296_cmp[c]_complex"
"" "E265_ade[c]_complex" "E7_anth[c]_complex"
"" "E265_ade[c]_complex" "E78_anth[c]_complex"
"" "E265_ade[c]_complex" "E145_gln__L[c]_h2o[c]_complex"
"" "E265_ade[c]_complex" "E201_hxan[c]_complex"
"" "E265_ade[c]_complex" "E265_gua[c]_complex"
"" "E272_gtp[c]_imp[c]_complex" "E97_h[c]_complex"
"" "E272_gtp[c]_imp[c]_complex" "E99_cbp[c]_complex"
"" "E15_cellb[c]_complex" "E116_cellb[c]_complex"
"" "E15_cellb[c]_complex" "E289_dhap[c]_complex"
"" "E15_cellb[c]_complex" "E254_dgtp[c]_complex"
"" "E15_cellb[c]_complex" "E254_gtp[c]_complex"
"" "E15_cellb[c]_complex" "E254_dctp[c]_complex"
"" "E15_cellb[c]_complex" "E254_ctp[c]_complex"
"" "E15_cellb[c]_complex" "E254_datp[c]_complex"
"" "E15_cellb[c]_complex" "E183_gtp[c]_complex"
"" "E15_cellb[c]_complex" "E64_5aprbu[c]_complex"
"" "E15_cellb[c]_complex" "E254_atp[c]_complex"
"" "E15_cellb[c]_complex" "E292_dgmp[c]_complex"
"" "E15_cellb[c]_complex" "E292_dcmp[c]_complex"
"" "E15_cellb[c]_complex" "E54_gmp[c]_complex"
"" "E15_cellb[c]_complex" "E296_gmp[c]_complex"
"" "E15_cellb[c]_complex" "E112_6pgl[c]_complex"
"" "E15_cellb[c]_complex" "E292_damp[c]_complex"
"" "E15_cellb[c]_complex" "E54_cmp[c]_complex"
"" "E15_cellb[c]_complex" "E296_cmp[c]_complex"
"" "E116_cellb[c]_complex" "E289_dhap[c]_complex"
"" "E116_cellb[c]_complex" "E254_dgtp[c]_complex"
"" "E116_cellb[c]_complex" "E254_gtp[c]_complex"
"" "E116_cellb[c]_complex" "E254_dctp[c]_complex"
"" "E116_cellb[c]_complex" "E254_ctp[c]_complex"
"" "E116_cellb[c]_complex" "E254_datp[c]_complex"
"" "E116_cellb[c]_complex" "E183_gtp[c]_complex"
"" "E116_cellb[c]_complex" "E64_5aprbu[c]_complex"
"" "E116_cellb[c]_complex" "E254_atp[c]_complex"
"" "E116_cellb[c]_complex" "E292_dgmp[c]_complex"
"" "E116_cellb[c]_complex" "E292_dcmp[c]_complex"
"" "E116_cellb[c]_complex" "E54_gmp[c]_complex"
